
2025/09/24 (16:25:36) | ===> btop++ v.1.3.0
2025/09/24 (16:25:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/24 (17:12:57) | ===> btop++ v.1.3.0
2025/09/24 (17:12:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/24 (18:18:23) | ===> btop++ v.1.3.0
2025/09/24 (18:18:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/24 (18:18:32) | ===> btop++ v.1.3.0
2025/09/24 (18:18:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/25 (14:39:24) | ===> btop++ v.1.3.0
2025/09/25 (14:39:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/14 (16:04:57) | ===> btop++ v.1.3.0
2025/10/14 (16:04:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/22 (16:21:27) | ===> btop++ v.1.3.0
2025/10/22 (16:21:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/22 (16:23:28) | ===> btop++ v.1.3.0
2025/10/22 (16:23:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
