7zip	23.01+dfsg-11ubuntu0.1~esm1
accountsservice	23.13.9-2ubuntu6
acl	2.3.2-1build1.1
adb	1:34.0.4-1build3
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
aglfn	1.7+git20191031.4036a9c-2
aircrack-ng	1:1.7+git20230807.4bf83f1a-1build2
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.7
alsa-utils	1.2.9-1ubuntu5
amazon-q	1.19.3
amd64-microcode	3.20250311.1ubuntu0.24.04.1
anacron	2.3-39ubuntu2
android-libbase:amd64	1:34.0.4-1build3
android-libboringssl:amd64	14.0.0+r11-4build1
android-libcutils:amd64	1:34.0.4-1build3
android-liblog:amd64	1:34.0.4-1build3
android-libziparchive:amd64	1:34.0.4-1build3
android-sdk-platform-tools-common	28.0.2+9
anytype	0.49.2
apg	2.2.3.dfsg.1-5build3
apksigner	31.0.2-1ubuntu1
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.4
apport	2.28.1-0ubuntu3.8
apport-core-dump-handler	2.28.1-0ubuntu3.8
apport-gtk	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-config-icons	1.0.2-1build6
apt-config-icons-hidpi	1.0.2-1build6
apt-utils	2.8.3
aptdaemon	1.1.1+bzr982-0ubuntu44
aptdaemon-data	1.1.1+bzr982-0ubuntu44
arch-test	0.21-1
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
avahi-daemon	0.8-13ubuntu6
baobab	46.0-1build1
base-files	13ubuntu10.3
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bat	0.24.0-1build1
bc	1.07.1-3ubuntu4
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.2
bind9-host	1:9.18.39-0ubuntu0.24.04.2
bind9-libs:amd64	1:9.18.39-0ubuntu0.24.04.2
binutils	2.42-4ubuntu2.6
binutils-common:amd64	2.42-4ubuntu2.6
binutils-x86-64-linux-gnu	2.42-4ubuntu2.6
bison	2:3.8.2+dfsg-1build2
blueman	2.3.5-3build1
bluez	5.72-0ubuntu5.5
bluez-cups	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
bridge-utils	1.7.1-1ubuntu2
brightness-udev	0.5.1-3.1
brightnessctl	0.5.1-3.1
brltty	6.6-4ubuntu5
bsdextrautils	2.39.3-9ubuntu6.3
bsdutils	1:2.39.3-9ubuntu6.3
btop	1.3.0-1
bubblewrap	0.10.0-1~flatpak1~24.04.1
build-essential	12.10ubuntu1
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
bzip2	1.0.8-5.1build0.1
bzip2-doc	1.0.8-5.1build0.1
ca-certificates	20240203
ca-certificates-java	20240118
caca-utils	0.99.beta20-4build2
caja	1.26.3-1build3
caja-common	1.26.3-1build3
cava	0.7.4-1build2
chafa	1.14.0-1.1build1
checkinstall	1.6.2+git20170426.d24a630-4
checksec	2.6.0-2
cheese	44.1-1build4
cheese-common	44.1-1build4
cider	3.1.0
clamav	1.4.3+dfsg-0ubuntu0.24.04.1
clamav-base	1.4.3+dfsg-0ubuntu0.24.04.1
clamav-daemon	1.4.3+dfsg-0ubuntu0.24.04.1
clamav-freshclam	1.4.3+dfsg-0ubuntu0.24.04.1
clamdscan	1.4.3+dfsg-0ubuntu0.24.04.1
clang-15	1:15.0.7-14build3
cliphist	0.4.0-2ubuntu0.3
cloud-guest-utils	0.33-1
cloud-image-utils	0.33-1
cloud-init	25.2-0ubuntu1~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
cmake-extras	1.7-2
code	1.105.1-1760482543
colord	1.4.7-1build2
colord-data	1.4.7-1build2
command-not-found	23.04.0
conky-manager2	2.7-0~202507162124~ubuntu24.04.1
conky-std	1.19.6-1build3
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
containerd.io	1.7.28-1~ubuntu.24.04~noble
coreutils	9.4-3ubuntu6.1
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cppcheck	2.13.0-2ubuntu3
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cups	2.4.7-1.2ubuntu7.4
cups-browsed	2.0.0-0ubuntu10.3
cups-bsd	2.4.7-1.2ubuntu7.4
cups-client	2.4.7-1.2ubuntu7.4
cups-common	2.4.7-1.2ubuntu7.4
cups-core-drivers	2.4.7-1.2ubuntu7.4
cups-daemon	2.4.7-1.2ubuntu7.4
cups-filters	2.0.0-0ubuntu4
cups-filters-core-drivers	2.0.0-0ubuntu4
cups-ipp-utils	2.4.7-1.2ubuntu7.4
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.4
cups-server-common	2.4.7-1.2ubuntu7.4
